word,target_sound,source,difficulty,notes
aaa,r,CMU Pronouncing Dictionary,easy,Matched CMU phoneme R
aargh,r,CMU Pronouncing Dictionary,easy,Matched CMU phoneme R
aaron,r,CMU Pronouncing Dictionary,easy,Matched CMU phoneme R
aarti,r,CMU Pronouncing Dictionary,easy,Matched CMU phoneme R
abair,r,CMU Pronouncing Dictionary,easy,Matched CMU phoneme R
abare,r,CMU Pronouncing Dictionary,easy,Matched CMU phoneme R
abhor,r,CMU Pronouncing Dictionary,easy,Matched CMU phoneme R
abor,r,CMU Pronouncing Dictionary,easy,Matched CMU phoneme R
aborn,r,CMU Pronouncing Dictionary,easy,Matched CMU phoneme R
abort,r,CMU Pronouncing Dictionary,easy,Matched CMU phoneme R
abra,r,CMU Pronouncing Dictionary,easy,Matched CMU phoneme R
abram,r,CMU Pronouncing Dictionary,easy,Matched CMU phoneme R
abreu,r,CMU Pronouncing Dictionary,easy,Matched CMU phoneme R
abril,r,CMU Pronouncing Dictionary,easy,Matched CMU phoneme R
abrol,r,CMU Pronouncing Dictionary,easy,Matched CMU phoneme R
abron,r,CMU Pronouncing Dictionary,easy,Matched CMU phoneme R
aalsmeer,r,CMU Pronouncing Dictionary,hard,Matched CMU phoneme R
aardvark,r,CMU Pronouncing Dictionary,hard,Matched CMU phoneme R
aardvarks,r,CMU Pronouncing Dictionary,hard,Matched CMU phoneme R
aaronson,r,CMU Pronouncing Dictionary,hard,Matched CMU phoneme R
abattoir,r,CMU Pronouncing Dictionary,hard,Matched CMU phoneme R
abbreviate,r,CMU Pronouncing Dictionary,hard,Matched CMU phoneme R
abbruzzese,r,CMU Pronouncing Dictionary,hard,Matched CMU phoneme R
abendroth,r,CMU Pronouncing Dictionary,hard,Matched CMU phoneme R
